mode,n_comments,n_nodes,n_edges,n_canopies,n_clusters,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,modularity,conductance_mean,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
pipeline,750,723,3891,580,380,1.8104962999932468,0.0320748999947682,0.04102730000158772,0.16322370001580566,2.0468222000054084,0.41484678532234665,0.7597968030541652,10.763485477178424,0.01490787462213078,41.0,1.0,2.0,0.002631578947368421,0.0027662517289073307,0.05799160660433988,0.005747630326423515,0.027833612239830247,0.0024450037100738026,,0.0,0.0020961932393211524,0.3551706867511956,0.3551706867511956
pipeline,750,723,3891,580,380,1.6714981000404805,0.031189700006507337,0.038674899959005415,0.16363230004208162,1.9049950000480749,0.41484678532234665,0.7597968030541652,10.763485477178424,0.01490787462213078,41.0,1.0,2.0,0.002631578947368421,0.0027662517289073307,0.05799160660433988,0.005747630326423515,0.027833612239830247,0.0024450037100738026,,0.0,0.0020961932393211524,0.3551706867511956,0.3551706867511956
canopy_only,750,723,0,580,580,1.93341340002371,0.0,0.0,0.0,1.93341340002371,,,,,,,,,,,,,,,,,,
canopy_only,750,723,0,580,580,1.6580794000183232,0.0,0.0,0.0,1.6580794000183232,,,,,,,,,,,,,,,,,,
kruskal_only,750,723,3888,580,380,1.6095759999589063,0.03208530001575127,0.03873209998710081,0.1710692000342533,1.8514625999960117,0.36739326991217436,0.7807512100857628,10.755186721991702,0.014896380501373548,41.0,1.0,2.0,0.002631578947368421,0.0027662517289073307,0.0628706873209918,0.0065590257552254365,0.03012961932742679,0.0033543012460729286,,0.0,,0.3617282253955109,0.3617282253955109
kruskal_only,750,723,3888,580,380,1.8413294999627396,0.033671699988190085,0.03709510003682226,0.1872377999825403,2.0993340999702923,0.36739326991217436,0.7807512100857628,10.755186721991702,0.014896380501373548,41.0,1.0,2.0,0.002631578947368421,0.0027662517289073307,0.0628706873209918,0.0065590257552254365,0.03012961932742679,0.0033543012460729286,,0.0,,0.3617282253955109,0.3617282253955109
pipeline,1000,963,5123,758,502,1.7585600999882445,0.10930950002511963,0.05221210001036525,0.2178429999621585,2.137924699985888,0.4662663989952925,0.7413115594062322,10.639667705088266,0.011059945639384892,55.0,1.0,2.0,0.00199203187250996,0.0020768431983385254,0.04265928329884075,0.0047388361040311515,0.024426551744256134,0.00478220495867991,,0.0,0.002454853293338721,0.43174472329184493,0.43174472329184493
pipeline,1000,963,5123,758,502,1.690101100015454,0.04262020002352074,0.05825169995659962,0.24954610003624111,2.0405191000318155,0.4662663989952925,0.7413115594062322,10.639667705088266,0.011059945639384892,55.0,1.0,2.0,0.00199203187250996,0.0020768431983385254,0.04265928329884075,0.0047388361040311515,0.024426551744256134,0.00478220495867991,,0.0,0.002454853293338721,0.43174472329184493,0.43174472329184493
canopy_only,1000,963,0,758,758,1.862361499981489,0.0,0.0,0.0,1.862361499981489,,,,,,,,,,,,,,,,,,
canopy_only,1000,963,0,758,758,1.9895106000476517,0.0,0.0,0.0,1.9895106000476517,,,,,,,,,,,,,,,,,,
